date, pm25, pm10, no2
2024/6/9, 19, 14, 9
2024/6/10, 19, 17, 13
2024/6/11, 21, 20, 16
2024/6/12, 29, 13, 7
2024/6/13, 20, 7, 4
2024/6/14, 11, 9, 3
2024/6/15, 14, 10, 7
2024/6/16, 14, 10, 7
2024/6/17, 16, 17, 15
2024/6/18, 29, 23, 16
2024/6/19, 35, 21, 17
2024/6/20, 33, 24, 17
2024/6/21, 38, 13, 8
2024/6/22, 21, 14, 12
2024/6/23, 26, 16, 13
2024/6/24, 26, 24, 19
2024/6/25, 41, 35, 22
2024/6/26, 51, 26, 14
2024/6/27, 47, 24, 11
2024/6/28, 30, 20, 13
2024/6/29, 24, 17, 8
2024/6/30, 31, 15, 10
2024/1/1, 16, 5, 2
2024/1/2, 22, 10, 6
2024/1/3, 28, 14, 5
2024/1/4, 35, 11, 16
2024/1/5, 28, 15, 25
2024/1/6, 34, 14, 18
2024/1/7, 31, 30, 20
2024/1/8, 31, 31, 16
2024/1/9, 35, 39, 19
2024/1/10, 52, 48, 26
2024/1/11, 57, 37, 26
2024/1/12, 34, 24, 9
2024/1/13, 49, 23, 8
2024/1/14, 55, 46, 30
2024/1/15, 52, 38, 24
2024/1/16, 64, 20, 20
2024/1/17, 38, 29, 25
2024/1/18, 47, 48, 32
2024/1/19, 140, 29, 18
2024/1/20, 382, 14, 5
2024/1/21, 370, 16, 8
2024/1/22, 26, 16, 6
2024/1/23, 21, 38, 14
2024/1/24, 34, 12, 10
2024/1/25, 18, 28, 20
2024/1/26, 29, 30, 18
2024/1/27, 54, 23, 17
2024/1/28, 50, 25, 16
2024/1/29, 52, 34, 21
2024/1/30, 28, 35, 21
2024/1/31, 46, 37, 25
2024/2/1, 37, 20, 14
2024/2/2, 37, 15, 13
2024/2/3, 22, 13, 6
2024/2/4, 19, 27, 6
2024/2/5, 37, 20, 5
2024/2/6, 26, 12, 7
2024/2/7, 21, 17, 5
2024/2/8, 28, 9, 2
2024/2/9, 14, 11, 10
2024/2/10, 21, 12, 8
2024/2/11, 21, 25, 19
2024/2/12, 26, 19, 12
2024/2/13, 32, 11, 6
2024/2/14, 18, 14, 10
2024/2/15, 23, 24, 17
2024/2/16, 25, 14, 9
2024/2/17, 20, 10, 7
2024/2/18, 19, 20, 13
2024/2/19, 21, 23, 9
2024/2/20, 33, 6, 3
2024/2/21, 17, 7, 6
2024/2/22, 13, 8, 5
2024/2/23, 14, 6, 4
2024/2/24, 14, 7, 4
2024/2/25, 18, 9, 12
2024/2/26, 16, 28, 18
2024/2/27, 26, 14, 11
2024/2/28, 28, 7, 5
2024/2/29, 18, 6, 4
2024/3/1, 15, 9, 4
2024/3/2, 18, 21, 20
2024/3/3, 44, 18, 12
2024/3/4, 36, 9, 12
2024/3/5, 18, 17, 14
2024/3/6, 42, 21, 14
2024/3/7, 42, 26, 11
2024/3/8, 55, 6, 4
2024/3/9, 16, 20, 17
2024/3/10, 44, 29, 17
2024/3/11, 57, 15, 11
2024/3/12, 36, 10, 7
2024/3/13, 23, 11, 5
2024/3/14, 26, 11, 8
2024/3/15, 16, 11, 9
2024/3/16, 18, 13, 13
2024/3/17, 23, 25, 19
2024/3/18, 37, 23, 17
2024/3/19, 33, 24, 17
2024/3/20, 34, 38, 21
2024/3/21, 62, 22, 14
2024/3/22, 39, 14, 12
2024/3/23, 18, 14, 15
2024/3/24, 20, 16, 11
2024/3/25, 30, 9, 10
2024/3/26, 24, 6, 4
2024/3/27, 15, 7, 2
2024/3/28, 13, 6, 3
2024/3/29, 15, 6, 3
2024/3/30, 13, 9, 6
2024/3/31, 17, 6, 5
2023/10/1, 43, 22, 15
2023/10/2, 41, 19, 16
2023/10/3, 29, 16, 13
2023/10/4, 22, 17, 14
2023/10/5, 23, 22, 22
2023/10/6, 35, 22, 22
2023/10/7, 40, 19, 16
2023/10/8, 38, 28, 24
2023/10/9, 49, 30, 24
2023/10/10, 41, 30, 14
2023/10/11, 41, 21, 14
2023/10/12, 36, 28, 4
2023/10/13, 41, , 
2023/10/16, 14, 13, 10
2023/10/17, 19, 12, 7
2023/10/18, 19, 12, 8
2023/10/19, 19, 9, 10
2023/10/20, 16, 5, 1
2023/10/21, 8, 9, 6
2023/10/22, 17, 15, 17
2023/10/23, 31, 10, 7
2023/10/24, 20, 10, 13
2023/10/25, 15, 13, 10
2023/10/26, 22, 12, 6
2023/10/27, 17, 6, 2
2023/10/28, 10, 7, 2
2023/10/29, 13, 9, 8
2023/10/30, 17, 11, 8
2023/10/31, 18, 8, 3
2023/11/1, 14, 6, 3
2023/11/2, 13, 7, 5
2023/11/3, 13, 9, 2
2023/11/4, 14, 9, 5
2023/11/5, 14, 11, 8
2023/11/6, 18, 11, 11
2023/11/7, 20, 8, 5
2023/11/8, 15, 10, 9
2023/11/9, 13, 11, 10
2023/11/10, 14, 17, 20
2023/11/11, 34, 14, 11
2023/11/12, 28, 14, 9
2023/11/13, 21, 16, 10
2023/11/14, 22, 21, 17
2023/11/15, 29, 14, 21
2023/11/16, 26, 16, 23
2023/11/17, 31, 8, 7
2023/11/18, 19, 15, 7
2023/11/19, 23, 10, 12
2023/11/20, 15, 22, 20
2023/11/21, 22, 37, 22
2023/11/22, 39, 32, 21
2023/11/23, 33, 25, 25
2023/11/24, 25, 20, 23
2023/11/25, 27, 26, 15
2023/11/26, 49, 10, 13
2023/11/27, 20, 32, 27
2023/11/28, 36, 23, 20
2023/11/29, 52, 35, 18
2023/11/30, 50, 33, 21
2023/12/1, 59, 36, 20
2023/12/2, 72, 23, 8
2023/12/3, 56, 8, 7
2023/12/4, 16, 12, 18
2023/12/5, 24, 33, 26
2023/12/6, 50, 14, 7
2023/12/7, 34, 24, 16
2023/12/8, 37, 17, 8
2023/12/9, 26, 23, 6
2023/12/10, 35, 26, 14
2023/12/11, 34, 14, 11
2023/12/12, 27, 17, 16
2023/12/13, 23, 17, 16
2023/12/14, 26, 33, 26
2023/12/15, 52, 32, 24
2023/12/16, 54, 34, 18
2023/12/17, 66, 22, 12
2023/12/18, 49, 13, 9
2023/12/19, 27, 18, 18
2023/12/20, 22, 13, 12
2023/12/21, 21, 16, 12
2023/12/22, 20, 9, 9
2023/12/23, 13, 12, 5
2023/12/24, 18, 5, 6
2023/12/25, 11, 14, 14
2023/12/26, 21, 9, 2
2023/12/27, 20, 13, 3
2023/12/28, 18, 13, 5
2023/12/29, 18, 9, 5
2023/12/30, 14, 7, 2
2023/12/31, 12, 10, 3
2023/7/1, 33, 26, 8
2023/7/2, 55, 18, 10
2023/7/3, 32, 13, 3
2023/7/4, 24, 14, 9
2023/7/5, 29, 13, 11
2023/7/6, 32, 17, 13
2023/7/7, 34, 15, 20
2023/7/8, 42, 15, 16
2023/7/9, 35, 12, 9
2023/7/10, 21, 12, 8
2023/7/11, 22, 13, 10
2023/7/12, 24, 14, 12
2023/7/13, 24, 13, 7
